hjd,camera,mag,mag_err,flux,flux_err
2456510.9455,bb,16.419,0.11134,1.007,0.103
2456918.08215,ba,16.291,0.1004,1.169,0.108
2456525.91729,bb,15.745,0.07023,1.872,0.121
2456491.99834,bb,16.166,0.09449,1.271,0.11
2458034.93454,ba,15.891,0.07614,1.688,0.118
2456913.91488,ba,16.301,0.10106,1.158,0.108
2457898.11662,ba,15.635,99.99,2.12,0.428
2457363.80627,ba,16.002,0.0824,1.524,0.116
2457688.90963,bb,16.47,0.11486,0.96,0.101
2458295.04724,ba,16.119,0.08941,1.369,0.113
2457327.82649,ba,16.461,0.11189,0.999,0.103
2457941.11061,bb,16.398,0.10989,1.026,0.104
2456896.9776,bb,16.107,0.09078,1.342,0.112
2456822.08314,ba,15.648,0.06384,2.112,0.124
2456892.99097,bb,16.474,0.11514,0.957,0.101
2457317.77318,bb,15.941,0.08085,1.562,0.116
2456531.88256,ba,16.353,0.10453,1.103,0.106
2457657.01844,bb,16.185,0.09571,1.248,0.11
2457372.8203,bb,16.11,0.09096,1.338,0.112
2457904.11744,ba,15.841,99.99,-0.568,0.354
2457764.72315,bb,16.184,0.09565,1.249,0.11
2457721.86364,ba,16.543,0.11757,0.927,0.1
2456943.02229,ba,15.954,0.07965,1.593,0.117
2457744.78202,bb,16.536,0.11946,0.904,0.099
2456836.06844,bb,15.93,0.08022,1.579,0.117
2458101.82584,ba,16.044,0.08487,1.467,0.115
2457982.02746,bb,15.91,0.07908,1.608,0.117
2456478.01912,ba,16.167,0.0924,1.309,0.111
2457206.02768,ba,16.208,0.09501,1.261,0.11
2457351.83945,bb,16.266,0.101,1.159,0.108
2457592.10408,bb,16.539,0.11967,0.901,0.099
2456458.06374,bb,16.662,0.12827,0.804,0.095
2457036.72591,bb,16.848,0.14105,0.678,0.088
2458000.85624,bb,16.597,99.99,0.592,0.176
2457384.72642,ba,16.069,0.08637,1.433,0.114
2457369.7618,bb,16.395,0.10969,1.029,0.104
2457278.03441,bb,15.984,0.08334,1.502,0.115
2457928.07715,bb,16.151,0.09354,1.288,0.111
2457746.78721,bb,16.595,0.12358,0.855,0.097
2457299.02868,bb,16.004,0.08452,1.474,0.115
2456631.72756,bb,16.53,0.11904,0.909,0.1
2456867.12824,ba,16.114,0.08911,1.374,0.113
2457898.11691,bb,15.434,99.99,2.057,0.514
2457270.07068,ba,16.767,0.13321,0.754,0.092
2457962.03913,bb,16.274,0.10153,1.15,0.107
2457543.11207,ba,16.587,99.99,0.811,0.178
2457193.10173,bb,16.019,0.08541,1.454,0.114
2456873.92753,ba,16.476,0.11292,0.985,0.102
2457984.01089,ba,16.012,0.08299,1.51,0.115
2457587.06665,ba,16.515,0.11562,0.95,0.101
2457680.80534,bb,16.145,0.09316,1.295,0.111
2457701.8704,bb,15.765,0.07126,1.838,0.12
2457380.78643,ba,16.697,0.12834,0.803,0.095
2457243.10671,bb,15.895,0.07824,1.63,0.117
2456920.94081,ba,16.641,0.12442,0.846,0.097
2457203.03974,bb,16.826,99.99,0.634,0.143
2456917.04763,ba,16.023,0.08363,1.496,0.115
2458063.9324,bb,16.516,0.11806,0.92,0.1
2457695.93723,ba,16.19,0.09386,1.283,0.111
2456847.04764,bb,16.578,0.12239,0.869,0.098
2457233.95433,bb,15.843,0.07538,1.711,0.119
2457364.75628,bb,16.204,0.09694,1.227,0.109
2457392.75185,ba,16.616,0.12267,0.866,0.098
2457233.954,ba,16.121,0.08954,1.367,0.113
2457357.74063,bb,16.34,0.10595,1.082,0.105
2456549.88376,bb,16.089,0.08966,1.364,0.113
2457701.87061,ba,15.9,0.07664,1.674,0.118
2457362.85201,bb,16.621,0.1254,0.836,0.096
2457179.11028,ba,15.982,0.08125,1.552,0.116
2457193.10137,ba,16.103,0.08843,1.389,0.113
2458313.03647,ba,15.948,0.07931,1.602,0.117
2457999.0462,ba,16.437,0.11024,1.022,0.104
2456520.94977,bb,16.162,0.09424,1.275,0.111
2457980.06988,ba,16.077,0.08685,1.423,0.114
